across_within,tool,measure,model,var,coef,pvalue
across,mocap,standing_height,avg_mocap_standing_height,const,-4.492533845837609,0.8093309573823902
across,mocap,standing_height,avg_mocap_standing_height,avg_mocap_standing_height,0.031637483059960454,0.8060877407653544
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI,const,-13.3790014369576,0.5392052554701661
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI,avg_mocap_standing_height,0.020064904038993567,0.8785894940891257
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI,BMI_1,0.42880005679564215,0.4035830882833339
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight,const,158.86644696721177,0.15067406222753219
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight,avg_mocap_standing_height,-1.0738961053176754,0.12873859452215158
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight,BMI_1,-4.045647981296161,0.15660507627339898
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight,weight_1,1.3436221739367051,0.11739388218566786
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,const,178.69444362932185,0.12098586458573372
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,avg_mocap_standing_height,-1.147759964025297,0.11350714265599766
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,BMI_1,-4.068892044293638,0.15805161464110312
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,weight_1,1.1835972035775544,0.17160704047703598
across,mocap,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,sex_Male,5.55244543791461,0.332813249510722
across,mocap,wingspan,avg_mocap_wingspan,const,-37.70956964700499,0.006086105391241875
across,mocap,wingspan,avg_mocap_wingspan,avg_mocap_wingspan,0.2807383172373698,0.005894762584126656
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI,const,-26.390973073600872,0.05030479156244004
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI,avg_mocap_wingspan,0.3046509578247344,0.0026295314565404574
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI,BMI_1,-0.5906021771191092,0.10577573219702913
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight,const,-51.85957914967728,0.09284809033223487
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight,avg_mocap_wingspan,0.4824356423698022,0.03240311598291126
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight,BMI_1,0.24511729257420733,0.785284671139696
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight,weight_1,-0.2675342796037147,0.3301788841144894
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,const,-34.27718788042264,0.26581608488198555
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,avg_mocap_wingspan,0.4142624981463978,0.05676932337991929
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,BMI_1,0.246690302123992,0.7716798567583083
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,weight_1,-0.4246121955934425,0.15471154301207288
across,mocap,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,sex_Male,5.460205588173734,0.19496008023060465
across,mocap,sitting_height,avg_mocap_sitting_height,const,30.461992781338466,0.07762933823943778
across,mocap,sitting_height,avg_mocap_sitting_height,avg_mocap_sitting_height,-0.4794904870601505,0.08491852335922805
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI,const,16.247671069192396,0.35786914954675997
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI,avg_mocap_sitting_height,-0.5248835381376717,0.05138156631215196
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI,BMI_1,0.6911020044996491,0.13641859940357426
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight,const,42.78456044188184,0.0971107144257091
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight,avg_mocap_sitting_height,-0.8996065501274816,0.02270541071079393
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight,BMI_1,-0.2850656591809071,0.7054251460779353
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight,weight_1,0.2892616772608243,0.15037892312910392
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,const,64.96332033450263,0.04054081053475666
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,avg_mocap_sitting_height,-1.0812558957774163,0.012068236174928422
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,BMI_1,-0.1828014933365173,0.7961236320041666
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,weight_1,0.049717750151868634,0.8374231666142228
across,mocap,sitting_height,avg_mocap_sitting_height + avg_BMI + avg_weight + sex,sex_Male,7.074965666610354,0.17958856875699736
across,mocap,upper_leg_length,avg_mocap_upper_leg_length,const,-13.933056943116462,0.18614097401300492
across,mocap,upper_leg_length,avg_mocap_upper_leg_length,avg_mocap_upper_leg_length,0.33555802709719107,0.17998432213770757
across,mocap,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI,const,-9.140942409901808,0.5260564022819865
across,mocap,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI,avg_mocap_upper_leg_length,0.33339169707244815,0.20145150677142987
across,mocap,upper_leg_length,avg_mocap_upper_leg_length + avg_BMI,BMI_1,-0.19099163173065634,0.6218726025676693
