across_within,measure,model,var,coef,pvalue,tool,pvalue_adjusted,significant,significant_robustness_firstsessiononly,significant_robustness_session1only,significant_robustness_session2only,significant_robustness_BMIweight1
within,standing_height,avg_standing_height,const,-15.85061923822053,0.01903216834433777,,0.1442438021886652,False,False,True,False,False
within,standing_height,avg_standing_height,avg_standing_height,-0.06231090269122596,0.1352004019790058,,0.4033655915978158,False,False,False,False,False
within,standing_height,avg_standing_height + session_no,const,-16.670550274066372,0.01641013475764492,,0.13128107806115935,False,False,True,False,False
within,standing_height,avg_standing_height + session_no,avg_standing_height,-0.055153290518582275,0.20125096044545848,,0.44896049357428386,False,False,False,False,False
within,standing_height,avg_standing_height + session_no,session_no_2,-0.5862783069726527,0.4905681173306964,,0.7029035711006992,False,,,,False
within,standing_height,avg_standing_height + session_no + BMI,const,-13.428846218146996,0.04745874491513386,,0.2163048838195832,False,False,False,False,False
within,standing_height,avg_standing_height + session_no + BMI,avg_standing_height,-0.03796848288636335,0.3657409239441046,,0.6306489333336189,False,False,False,False,False
within,standing_height,avg_standing_height + session_no + BMI,BMI,-0.24603487660083467,0.053549973363354694,,0.22317266020462628,False,False,False,False,False
within,standing_height,avg_standing_height + session_no + BMI,session_no_2,-0.5734456173877467,0.4813781851162,,0.6985338103500986,False,,,,False
within,standing_height,avg_standing_height + session_no + BMI + weight,const,-136.59518850508334,1.9404235013281458e-06,,0.00014110699051005397,True,True,True,True,True
within,standing_height,avg_standing_height + session_no + BMI + weight,avg_standing_height,0.7170689926324287,2.1929426726483593e-05,,0.000701741655247475,True,False,True,True,True
within,standing_height,avg_standing_height + session_no + BMI + weight,BMI,2.569495785556681,3.4226006330375305e-05,,0.0008960990748316444,True,False,True,True,True
within,standing_height,avg_standing_height + session_no + BMI + weight,weight,-0.9053998860303745,7.271092890914843e-06,,0.00030039292472643894,True,True,True,True,True
within,standing_height,avg_standing_height + session_no + BMI + weight,session_no_2,-0.24414570598905438,0.6825871768012937,,0.8365323698671173,False,,,,False
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,const,-143.88632936255712,2.4547097756566665e-06,,0.000141391283077824,True,True,True,True,True
