across_within,measure,model,var,coef,pvalue
within,standing_height,avg_standing_height,const,-15.85061923822053,0.01903216834433777
within,standing_height,avg_standing_height,avg_standing_height,-0.06231090269122596,0.1352004019790058
within,standing_height,avg_standing_height + session_no,const,-16.670550274066372,0.01641013475764492
within,standing_height,avg_standing_height + session_no,avg_standing_height,-0.055153290518582275,0.20125096044545848
within,standing_height,avg_standing_height + session_no,session_no_2,-0.5862783069726527,0.4905681173306964
within,standing_height,avg_standing_height + session_no + BMI,const,-13.428846218146996,0.04745874491513386
within,standing_height,avg_standing_height + session_no + BMI,avg_standing_height,-0.03796848288636335,0.3657409239441046
within,standing_height,avg_standing_height + session_no + BMI,BMI,-0.24603487660083467,0.053549973363354694
within,standing_height,avg_standing_height + session_no + BMI,session_no_2,-0.5734456173877467,0.4813781851162
within,standing_height,avg_standing_height + session_no + BMI + weight,const,-136.59518850508334,1.9404235013281458e-06
within,standing_height,avg_standing_height + session_no + BMI + weight,avg_standing_height,0.7170689926324287,2.1929426726483593e-05
within,standing_height,avg_standing_height + session_no + BMI + weight,BMI,2.569495785556681,3.4226006330375305e-05
within,standing_height,avg_standing_height + session_no + BMI + weight,weight,-0.9053998860303745,7.271092890914843e-06
within,standing_height,avg_standing_height + session_no + BMI + weight,session_no_2,-0.24414570598905438,0.6825871768012937
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,const,-143.88632936255712,2.4547097756566665e-06
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,avg_standing_height,0.7571826182668895,2.186915645219479e-05
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,BMI,2.6575386253867372,3.034644155916015e-05
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,weight,-0.9159115494632365,7.30121692043428e-06
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,session_no_2,-0.1988511707786076,0.7406885676427499
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,sex_Male,-0.948225274219562,0.3741535727035161
within,wingspan,avg_wingspan,const,-12.261890378441613,0.14036630437791028
within,wingspan,avg_wingspan,avg_wingspan,-0.15934665053917063,0.004693160935222211
within,wingspan,avg_wingspan + session_no,const,-12.777217823735963,0.13015359596990053
within,wingspan,avg_wingspan + session_no,avg_wingspan,-0.15329674523886833,0.007621344664697456
within,wingspan,avg_wingspan + session_no,session_no_2,-0.7871419995024889,0.5232024871160492
within,wingspan,avg_wingspan + session_no + BMI,const,-7.804286975961572,0.3392469406116174
within,wingspan,avg_wingspan + session_no + BMI,avg_wingspan,-0.12049911220234649,0.029071047527814774
within,wingspan,avg_wingspan + session_no + BMI,BMI,-0.41429136838642955,0.028520783971224543
within,wingspan,avg_wingspan + session_no + BMI,session_no_2,-0.7548403061883215,0.5155637260943131
within,wingspan,avg_wingspan + session_no + BMI + weight,const,-31.720999288249317,0.12332430188179698
within,wingspan,avg_wingspan + session_no + BMI + weight,avg_wingspan,0.03183140553832475,0.805449477327324
within,wingspan,avg_wingspan + session_no + BMI + weight,BMI,0.24882825964486255,0.648107810527363
within,wingspan,avg_wingspan + session_no + BMI + weight,weight,-0.22213597951834352,0.20265577834950313
within,wingspan,avg_wingspan + session_no + BMI + weight,session_no_2,-0.36823202293760016,0.755883031022596
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,const,-29.54190597304511,0.1719788357457473
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,avg_wingspan,0.021718057847060268,0.8710736372087141
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,BMI,0.2571974543546553,0.642210210448696
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,weight,-0.2385200731902566,0.19136352700077439
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,session_no_2,-0.4133792967336136,0.7321517743168016
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,sex_Male,0.7671725580850226,0.7084311859413064
within,sitting_height,avg_sitting_height,const,-22.809190863832143,0.02980169074228434
within,sitting_height,avg_sitting_height,avg_sitting_height,-0.051018505235682354,0.7028226478904747
within,sitting_height,avg_sitting_height + session_no,const,-23.30697468362065,0.028096181745489914
within,sitting_height,avg_sitting_height + session_no,avg_sitting_height,-0.0377434054106176,0.7810387246455355
within,sitting_height,avg_sitting_height + session_no,session_no_2,-0.9607062043122845,0.4631078506232278
within,sitting_height,avg_sitting_height + session_no + BMI,const,-25.32261895522233,0.02220997804586037
