across_within,measure,model,var,coef,pvalue
within,standing_height,avg_standing_height,const,-15.856040061183243,0.006438094748749474
within,standing_height,avg_standing_height,avg_standing_height,-0.06163050226596101,0.07715979892670169
within,standing_height,avg_standing_height + session_no,const,-15.856040061183243,0.006438094748749474
within,standing_height,avg_standing_height + session_no,avg_standing_height,-0.06163050226596101,0.07715979892670169
within,standing_height,avg_standing_height + session_no + BMI,const,-14.365274962689838,0.010678874512921538
within,standing_height,avg_standing_height + session_no + BMI,avg_standing_height,-0.04733825418992743,0.1656461050627479
within,standing_height,avg_standing_height + session_no + BMI,BMI,-0.15574041977891676,0.10242139658312997
within,standing_height,avg_standing_height + session_no + BMI + weight,const,-89.37022367483974,0.00016203817316184024
within,standing_height,avg_standing_height + session_no + BMI + weight,avg_standing_height,0.41565896331061336,0.0023529794337052924
within,standing_height,avg_standing_height + session_no + BMI + weight,BMI,1.5236027130474943,0.001999556027101616
within,standing_height,avg_standing_height + session_no + BMI + weight,weight,-0.5445837014180626,0.0007581555631835916
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,const,-83.69643153166027,0.0010143531856066472
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,avg_standing_height,0.38269538111146856,0.009243414620725914
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,BMI,1.4444106123868177,0.0048737493338029125
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,weight,-0.5278467449419582,0.0014520506856656428
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,sex_Male,0.5641833066199506,0.5374637522514892
within,wingspan,avg_wingspan,const,-21.49355503820724,0.06054534605459132
within,wingspan,avg_wingspan,avg_wingspan,-0.09856733724656702,0.17450161428344624
within,wingspan,avg_wingspan + session_no,const,-21.49355503820724,0.06054534605459132
within,wingspan,avg_wingspan + session_no,avg_wingspan,-0.09856733724656702,0.17450161428344624
within,wingspan,avg_wingspan + session_no + BMI,const,-16.87034879428002,0.11689778590780867
within,wingspan,avg_wingspan + session_no + BMI,avg_wingspan,-0.0574809828362961,0.40749075509420074
within,wingspan,avg_wingspan + session_no + BMI,BMI,-0.45507519145938147,0.04531245276131654
within,wingspan,avg_wingspan + session_no + BMI + weight,const,-41.96549451400625,0.10111328365939895
