across_within,measure,model,var,coef,pvalue
within,standing_height,avg_standing_height,const,-22.896829823069986,0.0015454403121605987
within,standing_height,avg_standing_height,avg_standing_height,-0.015045009033132132,0.6988729926257854
within,standing_height,avg_standing_height + session_no,const,-22.896829823069986,0.0015454403121605987
within,standing_height,avg_standing_height + session_no,avg_standing_height,-0.015045009033132132,0.6988729926257854
within,standing_height,avg_standing_height + session_no + BMI,const,-20.571006715153896,0.0035563345913255605
within,standing_height,avg_standing_height + session_no + BMI,avg_standing_height,-0.0038885853566064652,0.9183642907742574
within,standing_height,avg_standing_height + session_no + BMI,BMI,-0.16894019624422155,0.14763799827012714
within,standing_height,avg_standing_height + session_no + BMI + weight,const,-137.92283073993627,0.0002042385189153159
within,standing_height,avg_standing_height + session_no + BMI + weight,avg_standing_height,0.7436860562665962,0.0008379146088140719
within,standing_height,avg_standing_height + session_no + BMI + weight,BMI,2.5571548555705657,0.0012912749776192803
within,standing_height,avg_standing_height + session_no + BMI + weight,weight,-0.9422201376633318,0.0007398997467497254
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,const,-145.3247530950552,7.071942070165706e-05
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,avg_standing_height,0.7992078010162678,0.00026776384087838224
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,BMI,2.8885661902000965,0.00034573625844505575
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,weight,-1.085519375393117,0.00019403381582647235
within,standing_height,avg_standing_height + session_no + BMI + weight + sex,sex_Male,1.6524800996451825,0.06510629356949153
within,wingspan,avg_wingspan,const,-26.784393546164633,0.07889040279019036
within,wingspan,avg_wingspan,avg_wingspan,-0.061006080968871806,0.5232230225596461
within,wingspan,avg_wingspan + session_no,const,-26.784393546164633,0.07889040279019036
within,wingspan,avg_wingspan + session_no,avg_wingspan,-0.061006080968871806,0.5232230225596461
within,wingspan,avg_wingspan + session_no + BMI,const,-14.691516724896939,0.22573836412522988
within,wingspan,avg_wingspan + session_no + BMI,avg_wingspan,0.0014579103689948702,0.9847065939589856
within,wingspan,avg_wingspan + session_no + BMI,BMI,-0.8981859919910373,0.005096804520406995
within,wingspan,avg_wingspan + session_no + BMI + weight,const,-53.54787638626325,0.08188285168059406
within,wingspan,avg_wingspan + session_no + BMI + weight,avg_wingspan,0.26043987078662845,0.18997724213403705
within,wingspan,avg_wingspan + session_no + BMI + weight,BMI,0.2811479501522174,0.7415715656200902
within,wingspan,avg_wingspan + session_no + BMI + weight,weight,-0.42248100038936015,0.16083336960742936
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,const,-52.58637802931625,0.09581209871867508
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,avg_wingspan,0.2650049425657989,0.19446214275661075
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,BMI,0.46679896907095547,0.6138158787185453
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,weight,-0.5230260005264246,0.1387197793831867
within,wingspan,avg_wingspan + session_no + BMI + weight + sex,sex_Male,2.082120653853745,0.5306488831908269
within,sitting_height,avg_sitting_height,const,9.708190032896983,0.4739536120328959
within,sitting_height,avg_sitting_height,avg_sitting_height,-0.47783404469425417,0.01591504341758848
within,sitting_height,avg_sitting_height + session_no,const,9.708190032896983,0.4739536120328959
within,sitting_height,avg_sitting_height + session_no,avg_sitting_height,-0.47783404469425417,0.01591504341758848
within,sitting_height,avg_sitting_height + session_no + BMI,const,5.382064169895155,0.7073587485915785
within,sitting_height,avg_sitting_height + session_no + BMI,avg_sitting_height,-0.49287471835133406,0.014756553319371297
within,sitting_height,avg_sitting_height + session_no + BMI,BMI,0.22709309071423942,0.3637067012756039
within,sitting_height,avg_sitting_height + session_no + BMI + weight,const,-21.534973458953747,0.5539498668305765
within,sitting_height,avg_sitting_height + session_no + BMI + weight,avg_sitting_height,-0.15629846850294749,0.7304010716728617
within,sitting_height,avg_sitting_height + session_no + BMI + weight,BMI,0.9060411048809028,0.30850124032519366
within,sitting_height,avg_sitting_height + session_no + BMI + weight,weight,-0.21494044948196697,0.4221314054675912
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,const,-17.860459999367773,0.6243229383589853
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,avg_sitting_height,-0.17165308305831906,0.7051988966075375
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,BMI,1.1348837053050629,0.22198176492232272
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,weight,-0.34896978034804405,0.2511150029805009
within,sitting_height,avg_sitting_height + session_no + BMI + weight + sex,sex_Male,3.1446193542449214,0.3221613251956338
within,upper_leg_length,avg_upper_leg_length,const,-32.18102068229776,0.01958113543740721
