session_name          ,Head-Neck Length ,Neck-Chest Length ,Chest-Ab Length ,Ab-Hip Length ,Neck-LShoulder Length ,Neck-RShoulder Length ,LShoulder-LUArm Length ,LUArm-LFArm Length ,LFArm-LHand Length ,RShoulder-RUArm Length ,RUArm-RFArm Length ,RFArm-RHand Length ,Hip-LThigh Length ,LThigh-LShin Length ,LShin-LFoot Length ,LFoot-LToe Length ,Hip-RThigh Length ,RThigh-RShin Length ,RShin-RFoot Length ,RFoot-RToe Length,Upper Body Height ,Standing Height L,Upper Leg Length A ,Upper Leg Length L ,Upper Leg Length R ,Upper Arm Length A ,Upper Arm L ,Upper Arm R ,Biacromial Breadth ,Bideltoid Width ,Wingspan  ,Foot Length A ,Foot Length L ,Foot Length R
M-SMC-06282023-13     ,107.9108,185.8101,226.94,97.3697,40.2823,40.2823,77.4301,323.739,233.6911,77.43,323.7392,233.6912,94.3533,400.5681,412.9019,154.2468,94.3533,400.5681,412.9021,154.2469,618.0306,1431.5006,400.5681,,,323.7391,,,80.5646,235.4247,1350.2852,154.24685,,
M-SMC-06282023-13_001 ,147.4605,225.8101,206.9399,77.3697,65.8911,65.8911,77.43,323.739,233.691,77.43,323.739,233.691,94.3533,400.568,412.902,154.2468,94.3533,400.568,412.902,154.2468,657.5802,1471.0502,400.568,,,323.739,,,131.7822,286.6422,1401.5022,154.2468,,
M-SMC-06282023-12     ,99.8079,192.1041,234.271,93.1132,35.7394,35.7394,73.7949,322.0662,228.2032,73.795,322.0661,228.2031,89.1626,379.5851,384.701,145.7612,89.1626,379.5851,384.701,145.7612,619.2962,1383.5823,379.5851,,,322.06615,,,71.4788,219.0687,1319.6073,145.7612,,
M-SMC-06282023-10     ,149.6947,228.4391,209.282,78.5422,73.6346,73.6346,121.36,299.358,287.013,121.36,299.358,287.013,95.7832,479.613,396.067,156.5845,95.7832,479.613,396.067,156.5845,665.958,1541.638,479.613,,,299.358,,,147.2692,389.9892,1562.7312,156.5845,,
M-SMC-07262023-26     ,112.0523,210.94,251.5391,99.5453,40.8745,40.8745,79.5791,340.3632,265.4813,79.5792,340.3632,265.4813,97.0064,410.4921,431.9979,158.5845,97.0064,410.4921,431.9982,158.5843,674.0767,1516.5667,410.4921,,,340.3632,,,81.749,240.9073,1452.5963,158.5844,,
M-SMC-07262023-27     ,110.4912,218.3969,259.195,98.7252,38.6965,38.6965,93.153,310.6941,237.3241,93.153,310.6939,237.3241,96.0062,425.893,424.6831,156.9485,96.0062,425.8931,424.6831,156.9486,686.8083,1537.3844,425.89305,,,310.694,,,77.393,263.699,1359.7352,156.94855,,
M-SMC-06282023-11     ,99.218,191.4881,233.731,92.8034,36.4226,36.4226,82.4936,279.8371,244.7512,82.4936,279.8371,244.7511,88.7847,375.4881,378.4311,145.1433,88.7847,375.4881,378.4311,145.1432,617.2405,1371.1597,375.4881,,,279.8371,,,72.8452,237.8324,1287.0089,145.14325,,
M-SMC-06272023-05     ,130.5251,205.821,189.1171,68.4843,58.3461,58.3461,68.5275,260.02,216.193,68.5275,260.02,216.193,83.5174,345.151,361.107,136.5323,83.5174,345.151,361.107,136.5323,593.9475,1300.2055,345.151,,,260.02,,,116.6922,253.7472,1206.1732,136.5323,,
M-SMC-07242023-18     ,99.4716,194.017,236.227,92.9367,35.8899,35.8899,84.0013,287.3662,226.7002,84.0013,287.3661,226.7002,88.9472,376.362,417.258,145.4092,88.9472,376.3619,417.258,145.4093,622.6523,1416.2723,376.36195,,,287.36615,,,71.7798,239.7824,1267.9151,145.40925,,
M-SMC-07242023-19     ,104.5733,189.476,231.0331,95.6169,38.8088,38.8088,90.6444,285.6982,227.6502,90.6445,285.6979,227.65,92.2157,419.9911,396.5362,150.7527,92.2157,419.991,396.5361,150.7526,620.6993,1437.2266,419.99105,,,285.69805,,,77.6176,258.9065,1285.6028,150.75265,,
