session_name          ,Upper Body Height ,Standing Height ,Upper Leg Length A ,Upper Leg Length L ,Upper Leg Length R ,Upper Arm Length A ,Upper Arm L ,Upper Arm R ,Biacromial Breadth ,Bideltoid Width ,Wingspan  ,Foot Length A ,Foot Length L ,Foot Length R
M-SMC-06282023-13     ,         618.0306 ,      1431.5006 ,          400.5681 ,          400.5681 ,          400.5681 ,          323.7391 ,   323.739  ,   323.7392 ,           80.5646 ,       235.4248 ,1350.2853 ,     154.2468 ,     154.2468 ,     154.2469
M-SMC-06282023-13_001 ,         657.5802 ,      1471.0502 ,          400.568  ,          400.568  ,          400.568  ,          323.739  ,   323.739  ,   323.739  ,          131.7821 ,       286.6421 ,1401.5021 ,     154.2468 ,     154.2468 ,     154.2468
M-SMC-06282023-12     ,         619.2962 ,      1383.5824 ,          379.5851 ,          379.5851 ,          379.5851 ,          322.0662 ,   322.0662 ,   322.0661 ,           71.4788 ,       219.0687 ,1319.6073 ,     145.7612 ,     145.7612 ,     145.7612
M-SMC-06282023-10     ,         665.9579 ,      1541.6379 ,          479.613  ,          479.613  ,          479.613  ,          299.358  ,   299.358  ,   299.358  ,          147.2693 ,       389.9893 ,1562.7313 ,     156.5845 ,     156.5845 ,     156.5845
M-SMC-07262023-26     ,         674.0767 ,      1516.5667 ,          410.4921 ,          410.4921 ,          410.4921 ,          340.3632 ,   340.3632 ,   340.3632 ,           81.749  ,       240.9073 ,1452.5962 ,     158.5844 ,     158.5845 ,     158.5843
M-SMC-07262023-27     ,         686.8083 ,      1537.3844 ,          425.893  ,          425.893  ,          425.8931 ,          310.694  ,   310.6941 ,   310.6939 ,           77.393  ,       263.6991 ,1359.7351 ,     156.9486 ,     156.9485 ,     156.9486
M-SMC-06282023-11     ,         617.2405 ,      1371.1597 ,          375.4881 ,          375.4881 ,          375.4881 ,          279.8371 ,   279.8371 ,   279.8371 ,           72.8453 ,       237.8325 ,1287.0091 ,     145.1433 ,     145.1433 ,     145.1432
M-SMC-06272023-05     ,         593.9475 ,      1300.2055 ,          345.151  ,          345.151  ,          345.151  ,          260.02   ,   260.02   ,   260.02   ,          116.6922 ,       253.7472 ,1206.1732 ,     136.5323 ,     136.5323 ,     136.5323
M-SMC-07242023-18     ,         622.6524 ,      1416.2724 ,          376.362  ,          376.362  ,          376.3619 ,          287.3661 ,   287.3662 ,   287.3661 ,           71.7798 ,       239.7824 ,1267.915  ,     145.4092 ,     145.4092 ,     145.4093
M-SMC-07242023-19     ,         620.6993 ,      1437.2266 ,          419.991  ,          419.9911 ,          419.991  ,          285.6981 ,   285.6982 ,   285.6979 ,           77.6176 ,       258.9065 ,1285.6029 ,     150.7527 ,     150.7527 ,     150.7526
M-SMC-06272023-04     ,         654.739  ,      1619.4889 ,          529.3619 ,          529.3619 ,          529.3619 ,          391.1911 ,   391.1911 ,   391.1911 ,          119.0175 ,       307.5261 ,1537.8242 ,     167.5288 ,     167.5288 ,     167.5288
M-SMC-06272023-06     ,         657.2336 ,      1527.728  ,          429.8332 ,          429.8332 ,          429.8331 ,          340.7291 ,   340.7291 ,   340.7291 ,           80.3469 ,       242.7542 ,1426.3167 ,     162.1374 ,     162.1375 ,     162.1373
M-SMC-07242023-19_001 ,         620.6991 ,      1437.2264 ,          419.9912 ,          419.9911 ,          419.9912 ,          285.698  ,   285.698  ,   285.698  ,           77.6175 ,       258.9066 ,1285.603  ,     150.7528 ,     150.7527 ,     150.7528
M-SMC-06272023-07     ,         651.0854 ,      1547.0024 ,          453.33   ,          453.33   ,          453.33   ,          334.036  ,   334.0359 ,   334.0361 ,           81.2693 ,       281.1001 ,1474.2086 ,     158.7992 ,     158.7993 ,     158.7991
M-SMC-07262023-25-M   ,         516.9422 ,      1297.2914 ,          415.1601 ,          415.1601 ,          415.1602 ,          289.6972 ,   289.6973 ,   289.6972 ,           72.9694 ,       228.7594 ,1224.0983 ,     140.1735 ,     140.1735 ,     140.1736
M-SMC-06282023-11_001 ,         617.2406 ,      1371.1596 ,          375.4881 ,          375.4882 ,          375.4881 ,          279.8372 ,   279.8372 ,   279.8372 ,           72.8452 ,       237.8324 ,1287.0089 ,     145.1433 ,     145.1434 ,     145.1433
M-SMC-06292023-15     ,         632.3218 ,      1435.6226 ,          416.718  ,          416.7179 ,          416.7181 ,          315.9692 ,   315.9693 ,   315.9691 ,           74.3807 ,       255.0952 ,1389.0399 ,     150.5523 ,     150.5523 ,     150.5523
M-SMC-06292023-14     ,         621.8801 ,      1437.3133 ,          429.0381 ,          429.0381 ,          429.0381 ,          312.1271 ,   312.1271 ,   312.1272 ,           75.8654 ,       248.1569 ,1365.6353 ,     151.7238 ,     151.7239 ,     151.7237
M-SMC-06292023-16     ,         566.6869 ,      1330.4302 ,          411.7282 ,          411.7282 ,          411.7281 ,          298.9671 ,   298.967  ,   298.9671 ,           71.6915 ,       215.7048 ,1209.185  ,     141.0628 ,     141.0628 ,     141.0629
M-SMC-06292023-17     ,         614.1387 ,      1371.2419 ,          379.8162 ,          379.8162 ,          379.8161 ,          281.8911 ,   281.8911 ,   281.891  ,           71.9883 ,       217.6302 ,1219.1547 ,     145.4178 ,     145.4178 ,     145.4179
M-SMC-06272023-05_003 ,         593.9475 ,      1300.2055 ,          345.151  ,          345.151  ,          345.151  ,          260.02   ,   260.02   ,   260.02   ,          116.6922 ,       253.7472 ,1206.1732 ,     136.5323 ,     136.5323 ,     136.5323
